FIPS,NAME,hp_emp,ltcf_res,phase_1a
1001,"Autauga County, Alabama",2288,120,2408
1003,"Baldwin County, Alabama",9922,536,10458
1005,"Barbour County, Alabama",658,143,801
1007,"Bibb County, Alabama",951,119,1070
1009,"Blount County, Alabama",2613,202,2815
1011,"Bullock County, Alabama",188,95,283
1013,"Butler County, Alabama",821,147,968
1015,"Calhoun County, Alabama",4974,544,5518
1017,"Chambers County, Alabama",1414,266,1680
1019,"Cherokee County, Alabama",1343,160,1503
1021,"Chilton County, Alabama",1475,126,1601
1023,"Choctaw County, Alabama",450,52,502
1025,"Clarke County, Alabama",852,138,990
1027,"Clay County, Alabama",519,165,684
1029,"Cleburne County, Alabama",520,73,593
1031,"Coffee County, Alabama",2660,295,2955
1033,"Colbert County, Alabama",2809,222,3031
1035,"Conecuh County, Alabama",325,55,380
1037,"Coosa County, Alabama",563,63,626
1039,"Covington County, Alabama",1498,345,1843
1041,"Crenshaw County, Alabama",487,134,621
1043,"Cullman County, Alabama",4300,470,4770
1045,"Dale County, Alabama",1661,254,1915
1047,"Dallas County, Alabama",1461,270,1731
1049,"DeKalb County, Alabama",2975,395,3370
1051,"Elmore County, Alabama",3750,331,4081
1053,"Escambia County, Alabama",1438,190,1628
1055,"Etowah County, Alabama",5368,652,6020
1057,"Fayette County, Alabama",862,104,966
1059,"Franklin County, Alabama",846,202,1048
1061,"Geneva County, Alabama",1323,164,1487
1063,"Greene County, Alabama",234,37,271
1065,"Hale County, Alabama",597,130,727
1067,"Henry County, Alabama",841,89,930
1069,"Houston County, Alabama",6432,436,6868
1071,"Jackson County, Alabama",1876,249,2125
1073,"Jefferson County, Alabama",42267,3120,45387
1075,"Lamar County, Alabama",540,116,656
1077,"Lauderdale County, Alabama",4409,521,4930
1079,"Lawrence County, Alabama",1159,108,1267
1081,"Lee County, Alabama",7031,198,7229
1083,"Limestone County, Alabama",3429,265,3694
1085,"Lowndes County, Alabama",338,55,393
1087,"Macon County, Alabama",705,95,800
1089,"Madison County, Alabama",17977,1012,18989
1091,"Marengo County, Alabama",929,128,1057
1093,"Marion County, Alabama",1412,234,1646
1095,"Marshall County, Alabama",3478,498,3976
1097,"Mobile County, Alabama",21635,1444,23079
1099,"Monroe County, Alabama",828,149,977
1101,"Montgomery County, Alabama",10452,838,11290
1103,"Morgan County, Alabama",5686,515,6201
1105,"Perry County, Alabama",311,125,436
1107,"Pickens County, Alabama",837,132,969
1109,"Pike County, Alabama",1084,144,1228
1111,"Randolph County, Alabama",851,147,998
1113,"Russell County, Alabama",2623,266,2889
1115,"St. Clair County, Alabama",4133,294,4427
1117,"Shelby County, Alabama",10657,311,10968
1119,"Sumter County, Alabama",489,72,561
1121,"Talladega County, Alabama",3288,399,3687
1123,"Tallapoosa County, Alabama",2048,348,2396
1125,"Tuscaloosa County, Alabama",11361,719,12080
1127,"Walker County, Alabama",2845,460,3305
1129,"Washington County, Alabama",638,75,713
1131,"Wilcox County, Alabama",365,58,423
1133,"Winston County, Alabama",976,151,1127
2013,"Aleutians East Borough, Alaska",57,NA,NA
2016,"Aleutians West Census Area, Alaska",148,NA,NA
2020,"Anchorage Municipality, Alaska",20251,223,20474
2050,"Bethel Census Area, Alaska",802,16,818
2060,"Bristol Bay Borough, Alaska",17,NA,NA
2068,"Denali Borough, Alaska",20,NA,NA
2070,"Dillingham Census Area, Alaska",418,NA,NA
2090,"Fairbanks North Star Borough, Alaska",5415,74,5489
2100,"Haines Borough, Alaska",185,NA,NA
2105,"Hoonah-Angoon Census Area, Alaska",70,NA,NA
2110,"Juneau City and Borough, Alaska",1676,55,1731
2122,"Kenai Peninsula Borough, Alaska",3644,102,3746
2130,"Ketchikan Gateway Borough, Alaska",872,25,897
2150,"Kodiak Island Borough, Alaska",600,22,622
2158,"Kusilvak Census Area, Alaska",190,NA,NA
2164,"Lake and Peninsula Borough, Alaska",33,NA,NA
2170,"Matanuska-Susitna Borough, Alaska",5416,76,5492
2180,"Nome Census Area, Alaska",642,17,659
2185,"North Slope Borough, Alaska",287,NA,NA
2188,"Northwest Arctic Borough, Alaska",373,15,388
2195,"Petersburg Borough, Alaska",145,10,155
2198,"Prince of Wales-Hyder Census Area, Alaska",251,NA,NA
2220,"Sitka City and Borough, Alaska",743,15,758
2230,"Skagway Municipality, Alaska",20,NA,NA
2240,"Southeast Fairbanks Census Area, Alaska",196,NA,NA
2261,"Valdez-Cordova Census Area, Alaska",218,19,237
2275,"Wrangell City and Borough, Alaska",179,13,192
2282,"Yakutat City and Borough, Alaska",9,NA,NA
2290,"Yukon-Koyukuk Census Area, Alaska",180,NA,NA
4001,"Apache County, Arizona",3335,69,3404
4003,"Cochise County, Arizona",4573,246,4819
4005,"Coconino County, Arizona",6882,189,7071
4007,"Gila County, Arizona",2333,297,2630
4009,"Graham County, Arizona",1491,72,1563
4011,"Greenlee County, Arizona",170,NA,NA
4012,"La Paz County, Arizona",460,NA,NA
4013,"Maricopa County, Arizona",213639,6163,219802
4015,"Mohave County, Arizona",8990,386,9376
4017,"Navajo County, Arizona",4750,211,4961
4019,"Pima County, Arizona",54128,1879,56007
4021,"Pinal County, Arizona",17733,259,17992
4023,"Santa Cruz County, Arizona",1625,NA,NA
4025,"Yavapai County, Arizona",10756,352,11108
4027,"Yuma County, Arizona",7368,302,7670
5001,"Arkansas County, Arkansas",746,142,888
5003,"Ashley County, Arkansas",1025,106,1131
5005,"Baxter County, Arkansas",2680,187,2867
5007,"Benton County, Arkansas",10732,854,11586
5009,"Boone County, Arkansas",1577,238,1815
5011,"Bradley County, Arkansas",393,80,473
5013,"Calhoun County, Arkansas",210,NA,NA
5015,"Carroll County, Arkansas",815,88,903
5017,"Chicot County, Arkansas",472,97,569
5019,"Clark County, Arkansas",1194,166,1360
5021,"Clay County, Arkansas",870,134,1004
5023,"Cleburne County, Arkansas",1177,150,1327
5025,"Cleveland County, Arkansas",356,69,425
5027,"Columbia County, Arkansas",902,206,1108
5029,"Conway County, Arkansas",1121,107,1228
5031,"Craighead County, Arkansas",7515,532,8047
5033,"Crawford County, Arkansas",3353,342,3695
5035,"Crittenden County, Arkansas",2708,231,2939
5037,"Cross County, Arkansas",948,109,1057
5039,"Dallas County, Arkansas",420,54,474
5041,"Desha County, Arkansas",443,43,486
5043,"Drew County, Arkansas",1236,119,1355
5045,"Faulkner County, Arkansas",7443,476,7919
5047,"Franklin County, Arkansas",646,189,835
5049,"Fulton County, Arkansas",754,69,823
5051,"Garland County, Arkansas",5112,647,5759
5053,"Grant County, Arkansas",943,72,1015
5055,"Greene County, Arkansas",2787,240,3027
5057,"Hempstead County, Arkansas",1000,98,1098
5059,"Hot Spring County, Arkansas",1616,188,1804
5061,"Howard County, Arkansas",464,162,626
5063,"Independence County, Arkansas",1898,315,2213
5065,"Izard County, Arkansas",771,136,907
5067,"Jackson County, Arkansas",560,150,710
5069,"Jefferson County, Arkansas",3484,364,3848
5071,"Johnson County, Arkansas",746,109,855
5073,"Lafayette County, Arkansas",271,51,322
5075,"Lawrence County, Arkansas",727,182,909
5077,"Lee County, Arkansas",317,55,372
5079,"Lincoln County, Arkansas",412,71,483
5081,"Little River County, Arkansas",629,146,775
5083,"Logan County, Arkansas",1174,158,1332
5085,"Lonoke County, Arkansas",3771,450,4221
5087,"Madison County, Arkansas",832,46,878
5089,"Marion County, Arkansas",641,123,764
5091,"Miller County, Arkansas",2198,228,2426
5093,"Mississippi County, Arkansas",1655,263,1918
5095,"Monroe County, Arkansas",267,50,317
5097,"Montgomery County, Arkansas",335,89,424
5099,"Nevada County, Arkansas",600,87,687
5101,"Newton County, Arkansas",247,57,304
5103,"Ouachita County, Arkansas",1216,236,1452
5105,"Perry County, Arkansas",432,63,495
5107,"Phillips County, Arkansas",877,57,934
5109,"Pike County, Arkansas",552,91,643
5111,"Poinsett County, Arkansas",1004,182,1186
5113,"Polk County, Arkansas",797,78,875
5115,"Pope County, Arkansas",2856,279,3135
5117,"Prairie County, Arkansas",398,97,495
5119,"Pulaski County, Arkansas",28488,1736,30224
5121,"Randolph County, Arkansas",1114,183,1297
5123,"St. Francis County, Arkansas",1170,64,1234
5125,"Saline County, Arkansas",9717,656,10373
5127,"Scott County, Arkansas",523,60,583
5129,"Searcy County, Arkansas",431,45,476
5131,"Sebastian County, Arkansas",7246,764,8010
5133,"Sevier County, Arkansas",628,47,675
5135,"Sharp County, Arkansas",874,212,1086
5137,"Stone County, Arkansas",506,81,587
5139,"Union County, Arkansas",1954,370,2324
5141,"Van Buren County, Arkansas",818,100,918
5143,"Washington County, Arkansas",11459,947,12406
5145,"White County, Arkansas",4020,381,4401
5147,"Woodruff County, Arkansas",401,83,484
5149,"Yell County, Arkansas",983,192,1175
6001,"Alameda County, California",86733,4408,91141
6003,"Alpine County, California",29,NA,NA
6005,"Amador County, California",1299,78,1377
6007,"Butte County, California",12803,727,13530
6009,"Calaveras County, California",1980,88,2068
6011,"Colusa County, California",518,94,612
6013,"Contra Costa County, California",64054,2332,66386
6015,"Del Norte County, California",1405,69,1474
6017,"El Dorado County, California",8477,237,8714
6019,"Fresno County, California",48433,2447,50880
6021,"Glenn County, California",1009,59,1068
6023,"Humboldt County, California",7976,287,8263
6025,"Imperial County, California",7924,173,8097
6027,"Inyo County, California",990,89,1079
6029,"Kern County, California",32387,1511,33898
6031,"Kings County, California",5759,224,5983
6033,"Lake County, California",3313,219,3532
6035,"Lassen County, California",795,43,838
6037,"Los Angeles County, California",510467,30057,540524
6039,"Madera County, California",6046,352,6398
6041,"Marin County, California",13499,755,14254
6043,"Mariposa County, California",446,15,461
6045,"Mendocino County, California",4353,185,4538
6047,"Merced County, California",9430,595,10025
6049,"Modoc County, California",381,66,447
6051,"Mono County, California",441,NA,NA
6053,"Monterey County, California",16935,781,17716
6055,"Napa County, California",7595,605,8200
6057,"Nevada County, California",5120,344,5464
6059,"Orange County, California",148037,6009,154046
6061,"Placer County, California",22315,867,23182
6063,"Plumas County, California",1008,70,1078
6065,"Riverside County, California",105488,3717,109205
6067,"Sacramento County, California",83082,3291,86373
6069,"San Benito County, California",2765,76,2841
6071,"San Bernardino County, California",98310,4278,102588
6073,"San Diego County, California",164552,7444,171996
6075,"San Francisco County, California",47402,1983,49385
6077,"San Joaquin County, California",32009,2183,34192
6079,"San Luis Obispo County, California",13229,494,13723
6081,"San Mateo County, California",41284,1270,42554
6083,"Santa Barbara County, California",20833,983,21816
6085,"Santa Clara County, California",89698,4083,93781
6087,"Santa Cruz County, California",13573,592,14165
6089,"Shasta County, California",11402,844,12246
6091,"Sierra County, California",142,NA,NA
6093,"Siskiyou County, California",2089,38,2127
6095,"Solano County, California",27255,590,27845
6097,"Sonoma County, California",26526,1302,27828
6099,"Stanislaus County, California",23418,1649,25067
6101,"Sutter County, California",4092,362,4454
6103,"Tehama County, California",2637,91,2728
6105,"Trinity County, California",441,12,453
6107,"Tulare County, California",18571,1210,19781
6109,"Tuolumne County, California",2477,212,2689
6111,"Ventura County, California",38228,1488,39716
6113,"Yolo County, California",8699,504,9203
6115,"Yuba County, California",3169,65,3234
8001,"Adams County, Colorado",23358,1534,24892
8003,"Alamosa County, Colorado",903,86,989
8005,"Arapahoe County, Colorado",36810,1443,38253
8007,"Archuleta County, Colorado",475,46,521
8009,"Baca County, Colorado",219,68,287
8011,"Bent County, Colorado",158,50,208
8013,"Boulder County, Colorado",16106,780,16886
8014,"Broomfield County, Colorado",4030,158,4188
8015,"Chaffee County, Colorado",552,49,601
8017,"Cheyenne County, Colorado",55,23,78
8019,"Clear Creek County, Colorado",357,NA,NA
8021,"Conejos County, Colorado",385,43,428
8023,"Costilla County, Colorado",147,NA,NA
8025,"Crowley County, Colorado",330,34,364
8027,"Custer County, Colorado",70,NA,NA
8029,"Delta County, Colorado",1286,143,1429
8031,"Denver County, Colorado",39855,1543,41398
8033,"Dolores County, Colorado",48,NA,NA
8035,"Douglas County, Colorado",17269,487,17756
8037,"Eagle County, Colorado",2098,36,2134
8039,"Elbert County, Colorado",1128,29,1157
8041,"El Paso County, Colorado",36806,1588,38394
8043,"Fremont County, Colorado",2024,385,2409
8045,"Garfield County, Colorado",2735,206,2941
8047,"Gilpin County, Colorado",365,NA,NA
8049,"Grand County, Colorado",565,NA,NA
8051,"Gunnison County, Colorado",751,41,792
8053,"Hinsdale County, Colorado",17,NA,NA
8055,"Huerfano County, Colorado",231,82,313
