County_FIPS,Proportional_allocation_to_Adult_pop,Adult_pop,Percentile_ranks_Adult_pop,Proportional_allocation_to_Firstphase,Firstphase,Percentile_ranks_Firstphase,Proportional_allocation_to_SVI,SVI,Percentile_ranks_SVI,Proportional_allocation_to_SVI_no_race,SVI_no_race,Percentile_ranks_SVI_no_race
1063,271,6440,1.492537313,271,271,1.492537313,271,0.207099097,100,271,0.16277711,100
1005,801,20054,40.29850746,801,801,25.37313433,801,0.175595815,91.04477612,801,0.149431585,97.01492537
1107,969,16212,31.34328358,969,969,31.34328358,969,0.160376725,85.07462687,969,0.138723759,92.53731343
1131,423,8104,5.970149254,423,423,7.462686567,423,0.191614199,98.50746269,423,0.153045254,98.50746269
1105,436,7286,2.985074627,436,436,8.955223881,436,0.174821911,89.55223881,436,0.136841096,86.56716418
1065,727,11355,19.40298507,727,727,22.3880597,727,0.170338874,88.05970149,727,0.13931309,94.02985075
1119,561,10327,13.43283582,561,561,11.94029851,561,0.178056837,92.53731343,561,0.137068398,88.05970149
1123,2396,32072,56.71641791,2396,2396,61.19402985,2396,0.137841415,65.67164179,2396,0.125454007,67.1641791
1085,393,7808,4.47761194,393,393,5.970149254,393,0.187354028,97.01492537,393,0.146918761,95.52238806
1047,1731,29720,55.2238806,1731,1731,55.2238806,1731,0.169497026,86.56716418,1731,0.129686922,82.08955224
1121,3687,63130,74.62686567,3687,3687,73.13432836,3687,0.143191778,73.13432836,3687,0.126724792,74.62686567
1087,800,15460,29.85074627,800,800,23.88059701,800,0.178729044,94.02985075,800,0.131391248,83.58208955
1059,1048,23582,44.7761194,1048,1048,37.31343284,1048,0.125768671,40.29850746,1048,0.118215024,44.7761194
1023,502,10322,11.94029851,502,502,10.44776119,502,0.158531259,82.08955224,502,0.138697142,91.04477612
1093,1646,23592,46.26865672,1646,1646,52.23880597,1646,0.12033023,26.86567164,1646,0.123106399,64.17910448
1025,990,18841,37.31343284,990,990,34.32835821,990,0.152194218,80.59701493,990,0.129292971,80.59701493
1133,1127,18858,38.80597015,1127,1127,41.79104478,1127,0.122787879,31.34328358,1127,0.127056615,76.11940299
1113,2889,43783,67.1641791,2889,2889,65.67164179,2889,0.144051294,74.62686567,2889,0.115816179,38.80597015
1021,1601,33420,58.20895522,1601,1601,49.25373134,1601,0.131172414,55.2238806,1601,0.126350196,71.64179104
1053,1628,28769,52.23880597,1628,1628,50.74626866,1628,0.138487757,67.1641791,1628,0.119975621,49.25373134
1127,3305,49854,70.14925373,3305,3305,70.14925373,3305,0.126856068,44.7761194,3305,0.128022303,77.6119403
1075,656,10835,17.91044776,656,656,17.91044776,656,0.122554881,29.85074627,656,0.121303142,58.20895522
1039,1843,29037,53.73134328,1843,1843,56.71641791,1843,0.124040553,35.82089552,1843,0.120965109,52.23880597
1017,1680,26595,49.25373134,1680,1680,53.73134328,1680,0.137011838,64.17910448,1680,0.115046,37.31343284
1061,1487,20599,41.79104478,1487,1487,46.26865672,1487,0.128753597,50.74626866,1487,0.126415502,73.13432836
1057,966,13014,23.88059701,966,966,28.35820896,966,0.124986214,37.31343284,966,0.12284051,62.68656716
